Date,Adj. Close Price
08/09/14,141.93
09/09/14,141.82
10/09/14,142.97
11/09/14,143.11
12/09/14,142.78
15/09/14,143.17
16/09/14,144.03
17/09/14,143.91
18/09/14,144.62
19/09/14,144.81
22/09/14,144.15
23/09/14,143.03
24/09/14,143.55
25/09/14,141.08
26/09/14,141.87
29/09/14,141.55
30/09/14,141.70
01/10/14,139.71
02/10/14,139.52
03/10/14,140.83
06/10/14,141.11
07/10/14,138.62
08/10/14,141.35
09/10/14,139.15
10/10/14,138.79
13/10/14,136.99
14/10/14,137.20
15/10/14,135.67
16/10/14,134.24
17/10/14,135.89
20/10/14,126.22
21/10/14,121.84
22/10/14,120.77
23/10/14,121.06
24/10/14,120.98
27/10/14,120.83
28/10/14,122.12
29/10/14,122.01
30/10/14,122.68
31/10/14,122.71
03/11/14,122.68
04/11/14,121.41
05/11/14,120.79
06/11/14,121.35
07/11/14,121.80
10/11/14,122.87
11/11/14,122.73
12/11/14,121.69
13/11/14,122.34
14/11/14,123.37
17/11/14,123.37
18/11/14,121.67
19/11/14,121.32
20/11/14,120.73
21/11/14,120.94
24/11/14,121.86
25/11/14,121.57
26/11/14,121.71
28/11/14,121.88
01/12/14,121.41
02/12/14,122.25
03/12/14,123.64
04/12/14,123.29
05/12/14,122.71
08/12/14,121.65
09/12/14,122.50
10/12/14,120.63
11/12/14,121.05
12/12/14,116.78
15/12/14,115.03
16/12/14,113.79
17/12/14,114.18
18/12/14,118.50
19/12/14,119.13
22/12/14,121.33
23/12/14,121.93
24/12/14,121.62
26/12/14,122.01
29/12/14,120.63
30/12/14,120.29
31/12/14,120.58
02/01/15,121.80
05/01/15,119.88
06/01/15,117.29
07/01/15,116.53
08/01/15,119.06
09/01/15,119.58
12/01/15,117.57
13/01/15,117.85
14/01/15,117.09
15/01/15,116.17
16/01/15,118.10
20/01/15,117.96
21/01/15,114.30
22/01/15,116.78
23/01/15,117.14
26/01/15,117.51
27/01/15,115.49
28/01/15,113.90
29/01/15,116.85
30/01/15,115.22
02/02/15,116.23
03/02/15,119.10
04/02/15,117.96
05/02/15,118.68
06/02/15,118.61
09/02/15,117.87
10/02/15,120.00
11/02/15,119.73
12/02/15,119.97
13/02/15,121.39
17/02/15,121.82
18/02/15,122.75
19/02/15,124.04
20/02/15,123.85
23/02/15,123.29
24/02/15,124.75
25/02/15,123.22
26/02/15,121.75
27/02/15,122.56
02/03/15,121.45
03/03/15,121.87
04/03/15,120.65
05/03/15,121.98
06/03/15,119.96
09/03/15,121.67
10/03/15,119.43
11/03/15,118.67
12/03/15,119.56
13/03/15,116.76
16/03/15,118.88
17/03/15,118.79
18/03/15,120.95
19/03/15,120.95
20/03/15,123.27
23/03/15,124.60
24/03/15,123.36
25/03/15,120.49
26/03/15,121.54
27/03/15,121.39
30/03/15,123.11
31/03/15,121.47
01/04/15,120.47
02/04/15,121.43
06/04/15,122.64
07/04/15,122.66
08/04/15,122.49
09/04/15,122.86
10/04/15,123.26
13/04/15,122.89
14/04/15,122.83
15/04/15,124.22
16/04/15,123.46
17/04/15,121.60
20/04/15,125.75
21/04/15,124.32
22/04/15,125.15
23/04/15,128.84
24/04/15,128.49
27/04/15,129.21
28/04/15,131.63
29/04/15,131.99
30/04/15,129.64
01/05/15,131.44
04/05/15,131.66
05/05/15,130.99
06/05/15,129.67
07/05/15,130.39
08/05/15,131.68
11/05/15,130.49
12/05/15,130.05
13/05/15,131.37
14/05/15,132.72
15/05/15,132.12
18/05/15,131.97
19/05/15,132.29
20/05/15,132.50
21/05/15,132.18
22/05/15,131.33
26/05/15,129.73
27/05/15,131.16
28/05/15,130.94
29/05/15,129.37
01/06/15,129.77
02/06/15,129.37
03/06/15,129.57
04/06/15,128.40
05/06/15,127.65
08/06/15,126.08
09/06/15,126.34
10/06/15,128.81
11/06/15,128.70
12/06/15,127.34
15/06/15,126.78
16/06/15,127.22
17/06/15,127.48
18/06/15,128.30
19/06/15,127.34
22/06/15,127.90
23/06/15,128.58
24/06/15,127.32
25/06/15,126.64
26/06/15,126.17
29/06/15,124.27
30/06/15,124.04
01/07/15,125.43
02/07/15,125.89
06/07/15,125.61
07/07/15,125.82
08/07/15,124.42
09/07/15,124.94
10/07/15,127.31
13/07/15,129.16
14/07/15,128.57
15/07/15,128.51
16/07/15,130.40
17/07/15,131.55
20/07/15,132.09
21/07/15,124.35
22/07/15,122.27
23/07/15,123.33
24/07/15,121.82
27/07/15,121.30
28/07/15,122.05
29/07/15,122.84
30/07/15,122.74
31/07/15,123.53
03/08/15,121.02
04/08/15,120.18
05/08/15,120.41
06/08/15,120.19
07/08/15,119.27
10/08/15,120.52
11/08/15,119.57
12/08/15,120.07
13/08/15,119.23
14/08/15,119.75
17/08/15,120.18
18/08/15,119.95
19/08/15,118.36
20/08/15,117.38
21/08/15,114.45
24/08/15,110.31
25/08/15,108.38
26/08/15,112.79
27/08/15,114.21
28/08/15,113.78
31/08/15,113.71
01/09/15,109.70
02/09/15,111.53
03/09/15,112.86
04/09/15,110.49
08/09/15,113.20
09/09/15,111.53
10/09/15,112.41
11/09/15,113.31
14/09/15,111.99
15/09/15,113.43
16/09/15,114.11
17/09/15,113.90
18/09/15,111.11
21/09/15,112.63
22/09/15,111.05
23/09/15,110.46
24/09/15,111.03
25/09/15,111.81
28/09/15,109.58
29/09/15,109.54
30/09/15,111.46
01/10/15,110.40
02/10/15,111.16
05/10/15,114.59
06/10/15,114.39
07/10/15,115.40
08/10/15,117.08
09/10/15,117.17
12/10/15,116.21
